ID,Start time,Completion time,Email,Name,Last modified time,"I consent to take part in this research having read the above information and confirm that I am a UK resident and over 18 years old.
",How old are you?,What is your gender?,What is the highest level of education you have completed?,What best describes your primary academic or professional background?,"How often do you use a general-purpose LLMs such as ChatGPT, Claude or Gemini?",How long have you been using LLMs regularly?,How long do you typically spend in a single session with an LLM?,Which of the following general-purpose LLMs you have used in the past 3 months? Select all that apply.,Which of the following best describes how you most commonly use LLMs? Select all that apply.,"How often do you use LLMs for personal or emotionally significant conversations, as opposed to practical tasks?","When interacting with an LLM, how often do you use polite language such as ""please"" or ""thank you""?",What best describes your reason for using polite language? Select all that apply.,How does an LLM like ChatGPT primarily generate its responses?,True or false: ChatGPT remembers the content of previous conversations by default and uses this to inform future responses.,"True or false: an LLM will always give the same response to the same question.
",True or false: LLMs understand the meaning of language in the same way humans do.,"To what extent does a cheetah experience emotions?
","To what extent does the average robot have consciousness?
","To what extent does the average insect have a mind of its own?
","To what extent does a television set experience emotions?
","To what extent does the average reptile have consciousness?
","To what extent does the average computer have a mind of its own?
",I sometimes look forward to conversations with LLMs.,I have felt that an LLM understood me in a meaningful way.,"When an LLM expresses interest in what I am saying, it feels genuine rather than mechanical.",I sometimes feel that an LLM is engaged with me as an individual rather than simply processing my input.,I have used an LLM for conversation or support when I would otherwise have talked to another person.,I find it easier to discuss certain topics with an LLM than with people I know.,LLMs are capable of having something like subjective experience.,"When an LLM produces a response, something is happening internally that resembles a mental state. ","LLMs can have states that function like emotions, even if these differ from human emotions",It is possible that current LLMs have some form of inner life.,"LLMs genuinely understand the meaning of what they say, rather than processing statistical patterns","When an LLM expresses curiosity or enthusiasm, this reflects something real about its internal state.","LLMs have something that functions like preferences, even if these are not consciously chosen.",An LLM can have intentions about the outcome of a conversation.
12,5/18/26 16:15:54,5/18/26 16:22:52,anonymous,,,I Agree,55-64,Female,Postgraduate,STEM,Less than once a month,,Under 5 minutes,Gemini;,Information search;,Never,Never,,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,8,1,7,1,6,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Somewhat disagree
13,5/18/26 16:20:06,5/18/26 16:26:01,anonymous,,,I Agree,45-54,Female,GCSE/Standard grade,,More than once a day,6-12 months,30-60 minutes,Grok;ChatGPT;,Idea generation;Writing assistance;Information search;,Sometimes,Sometimes,It feels uncomfortable not to;,By retrieving relevant information from a continuously updated database,FALSE,FALSE,Don't know,10,1,10,1,10,1,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
14,5/18/26 16:21:58,5/18/26 16:27:26,anonymous,,,I Agree,45-54,Male,GCSE/Standard grade,,Multiple times a week,6-12 months,15-30 minutes,ChatGPT;Claude;,Information search;Writing assistance;,Rarely,Often,It is a habit from human conversation;,Don't know,TRUE,FALSE,FALSE,8,1,8,1,8,1,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree
15,5/18/26 16:20:12,5/18/26 16:30:16,anonymous,,,I Agree,45-54,Female,Degree,Social sciences,Monthly,More than 2 years,15-30 minutes,Copilot;,Business ie/ meeting minutes/transcripts;,Never,Often,It is a habit from human conversation;,By searching and summarising content from the internet ,Don't know,FALSE,FALSE,4,1,2,1,3,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
16,5/18/26 16:28:53,5/18/26 16:33:04,anonymous,,,I Agree,30-34,Male,Postgraduate,STEM,More than once a day,More than 2 years,30-60 minutes,Copilot;Claude;ChatGPT;Grok;,General conversation;Idea generation;Coding;Personal or emotional discussion;Learning or study;Information search;Writing assistance;Creative projects;,Very often,Often,It is a habit from human conversation;It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,10,1,7,1,10,1,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
17,5/18/26 16:23:30,5/18/26 16:40:09,anonymous,,,I Agree,45-54,Male,Degree,STEM,More than once a day,1-2 years,4+ hours,ChatGPT;Gemini;Claude;,Idea generation;Writing assistance;Coding;Creative projects;Information search;Learning or study;,Never,Often,It is a habit from human conversation;It feels uncomfortable not to;I think it may affect the quality of responses;I am uncertain/believe that it matters to the LLM ;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,10,1,8,1,9,1,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree
18,5/18/26 16:38:38,5/18/26 16:45:25,anonymous,,,I Agree,45-54,Female,Postgraduate,Medicine ,More than once a day,6-12 months,1-2 hours,Copilot;ChatGPT;,Business support/strategy/process refinement  and Microsoft 365 business architecture ;,Never,Often,It is a habit from human conversation;It feels uncomfortable not to;,Don't know,Don't know,FALSE,FALSE,5,2,6,1,4,1,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree
19,5/18/26 16:47:59,5/18/26 16:52:34,anonymous,,,I Agree,35-44,Male,Postgraduate,Humanities,Daily,1-2 years,15-30 minutes,ChatGPT;Claude;Gemini;,Writing assistance;Learning or study;Information search;,Rarely,Sometimes,It is a habit from human conversation;It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,7,3,4,1,5,1,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree
20,5/18/26 16:46:34,5/18/26 17:00:01,anonymous,,,I Agree,55-64,Female,Doctoral,healthcare,More than once a day,3-6 months,30-60 minutes,Gemini;ChatGPT;Claude;Deepseek;,Idea generation;Writing assistance;Information search;Learning or study;General conversation;,Rarely,Sometimes,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,6,1,6,1,6,1,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Disagree,Disagree,Somewhat agree
21,5/18/26 17:05:33,5/18/26 17:09:41,anonymous,,,I Agree,35-44,Female,Doctoral,Social sciences,More than once a day,6-12 months,Under 5 minutes,ChatGPT;,General conversation;Personal or emotional discussion;Learning or study;Idea generation;Writing assistance;Creative projects;Information search;,Very often,Always,It feels uncomfortable not to;,By retrieving relevant information from a continuously updated database,TRUE,FALSE,FALSE,7,1,6,1,6,1,Agree,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree
22,5/18/26 17:02:22,5/18/26 17:12:12,anonymous,,,I Agree,45-54,Female,Postgraduate,Government ,Daily,3-6 months,5-15 minutes,Copilot;ChatGPT;,Writing assistance;Idea generation;,Never,Always,It is a habit from human conversation;It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,Don't know,9,1,7,1,9,1,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Agree,Somewhat agree
23,5/18/26 17:12:58,5/18/26 17:17:50,anonymous,,,I Agree,45-54,Male,A-level/Higher grade,,Daily,3-6 months,1-2 hours,ChatGPT;Claude;,Coding;Writing assistance;Stock market trade analysis;,Sometimes,Never,,By applying a structured set of logical rules to interpret and respond to input,FALSE,FALSE,FALSE,5,1,1,1,3,1,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Agree,Somewhat agree
24,5/18/26 17:15:39,5/18/26 17:22:30,anonymous,,,I Agree,55-64,Female,Degree,Business,More than once a day,6-12 months,15-30 minutes,ChatGPT;Claude;Gemini;,Learning or study;Idea generation;Creative projects;,Very often,Always,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,Don't know,FALSE,7,1,2,1,2,1,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree
25,5/18/26 17:26:13,5/18/26 17:34:29,anonymous,,,I Agree,55-64,Female,Doctoral,Life Sciences,More than once a day,1-2 years,Under 5 minutes,Perplexity;Claude;,Information search;Learning or study;Cross checking documents & invoices;,Never,Rarely,It is a habit from human conversation;,Don't know,TRUE,FALSE,FALSE,7,2,6,1,4,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree
26,5/18/26 17:31:33,5/18/26 17:41:27,anonymous,,,I Agree,65+,Female,Degree,Business,Multiple times a week,More than 2 years,15-30 minutes,Grok;ChatGPT;,Learning or study;Information search;,Rarely,Often,It is a habit from human conversation;,By searching and summarising content from the internet ,TRUE,FALSE,TRUE,8,7,10,1,8,8,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly agree
27,5/18/26 17:34:28,5/18/26 17:43:04,anonymous,,,I Agree,55-64,Female,Postgraduate,STEM,More than once a day,1-2 years,15-30 minutes,ChatGPT;Copilot;Gemini;,Information search;Writing assistance;,Rarely,Always,It feels uncomfortable not to;,By retrieving relevant information from a continuously updated database,FALSE,FALSE,FALSE,1,1,2,1,2,1,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Agree,Disagree
28,5/18/26 17:40:12,5/18/26 17:47:49,anonymous,,,I Agree,55-64,Female,Professional exams Actuary ,Business,Daily,1-2 years,30-60 minutes,Copilot;ChatGPT;,Writing assistance;,Never,Rarely,I am uncertain/believe that it matters to the LLM ;,Don't know,Don't know,Don't know,Don't know,5,1,2,1,2,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
29,5/18/26 17:48:39,5/18/26 17:53:21,anonymous,,,I Agree,18-24,Prefer not to say,A-level/Higher grade,,Never,,,,,,,,By searching and summarising content from the internet ,TRUE,FALSE,FALSE,6,1,5,1,7,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Somewhat agree,Agree
30,5/18/26 17:42:07,5/18/26 17:53:29,anonymous,,,I Agree,55-64,Female,Postgraduate,Humanities,Weekly,Less than 3 months,15-30 minutes,ChatGPT;,Learning or study;,Rarely,Rarely,It is a habit from human conversation;It feels uncomfortable not to;,By searching and summarising content from the internet ,Don't know,FALSE,FALSE,9,2,6,1,9,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat disagree
31,5/18/26 17:49:28,5/18/26 17:54:15,anonymous,,,I Agree,18-24,Non-binary,A-level/Higher grade,,Never,,,,,,,,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,7,2,3,1,5,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
32,5/18/26 17:50:03,5/18/26 17:54:48,anonymous,,,I Agree,18-24,Female,A-level/Higher grade,,Never,,,,,,,,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,7,1,7,1,10,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree
33,5/18/26 17:55:53,5/18/26 17:59:31,anonymous,,,I Agree,18-24,Female,A-level/Higher grade,,Daily,6-12 months,30-60 minutes,Deepseek;Claude;ChatGPT;,Coding;Learning or study;Information search;,Never,Never,,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,7,1,7,1,7,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree
34,5/18/26 18:00:44,5/18/26 18:07:46,anonymous,,,I Agree,55-64,Male,Postgraduate,Social sciences,Daily,6-12 months,Under 5 minutes,Copilot;Gemini;,Information search;Writing assistance;Learning or study;,Never,Rarely,I am uncertain/believe that it matters to the LLM ;,By searching and summarising content from the internet ,Don't know,FALSE,FALSE,7,1,4,1,3,3,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Disagree,Strongly disagree,Somewhat disagree
35,5/18/26 18:21:47,5/18/26 18:26:44,anonymous,,,I Agree,45-54,Female,Degree,Humanities,Weekly,3-6 months,5-15 minutes,ChatGPT;Claude;,Information search;,Never,Never,,By searching and summarising content from the internet ,Don't know,FALSE,FALSE,4,2,8,1,10,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree
36,5/18/26 18:17:30,5/18/26 18:27:50,anonymous,,,I Agree,30-34,Male,Doctoral,Business,Weekly,1-2 years,30-60 minutes,Copilot;ChatGPT;Claude;Gemini;,Learning or study;Information search;Coding;Creative projects;Writing assistance;,Never,Often,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,4,1,1,1,2,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
37,5/18/26 17:51:10,5/18/26 18:42:03,anonymous,,,I Agree,45-54,Female,Degree,Humanities,Monthly,Less than 3 months,5-15 minutes,Gemini;ChatGPT;,Writing assistance;,Never,Always,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,Don't know,FALSE,8,1,8,1,8,1,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree
38,5/18/26 18:42:07,5/18/26 18:46:04,anonymous,,,I Agree,18-24,Female,A-level/Higher grade,,Never,,,,,,,,By retrieving relevant information from a continuously updated database,TRUE,FALSE,FALSE,9,1,6,1,9,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
39,5/18/26 18:43:25,5/18/26 18:47:24,anonymous,,,I Agree,18-24,Female,Degree,Arts,More than once a day,More than 2 years,4+ hours,ChatGPT;Claude;,Idea generation;Learning or study;Personal or emotional discussion;Coding;Creative projects;Writing assistance;Information search;,Often,Often,It feels uncomfortable not to;It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,9,1,9,1,9,1,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Somewhat agree
40,5/18/26 18:49:25,5/18/26 18:54:17,anonymous,,,I Agree,45-54,Female,Degree,Business,Weekly,1-2 years,5-15 minutes,ChatGPT;Copilot;,Information search;Writing assistance;Learning or study;,Never,Always,It is a habit from human conversation;It feels uncomfortable not to;,By retrieving relevant information from a continuously updated database,Don't know,FALSE,FALSE,7,5,6,2,5,3,Disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree
41,5/18/26 18:55:15,5/18/26 19:00:44,anonymous,,,I Agree,55-64,Female,Postgraduate,Business,More than once a day,1-2 years,1-2 hours,Claude;ChatGPT;Perplexity;,Creative projects;Idea generation;Information search;Writing assistance;,Sometimes,Sometimes,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,3,1,3,1,1,1,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree
42,5/18/26 19:02:13,5/18/26 19:10:00,anonymous,,,I Agree,55-64,Female,Degree,Healthcare ,Less than once a month,,Under 5 minutes,Claude;,Information search;,Never,Never,,By retrieving relevant information from a continuously updated database,TRUE,FALSE,Don't know,10,1,8,1,10,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree
43,5/18/26 19:05:13,5/18/26 19:17:29,anonymous,,,I Agree,45-54,Male,Degree,Business,More than once a day,1-2 years,5-15 minutes,Claude;ChatGPT;,Idea generation;Learning or study;,Never,Sometimes,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,5,1,4,1,5,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree
44,5/18/26 19:31:35,5/18/26 19:39:17,anonymous,,,I Agree,55-64,Male,Degree,Business,Daily,3-6 months,30-60 minutes,Copilot;ChatGPT;Gemini;Claude;,Information search;Writing assistance;Idea generation;General conversation;Learning or study;Creative projects;,Never,Sometimes,It is a habit from human conversation;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,FALSE,7,2,2,1,2,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Somewhat disagree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree
45,5/18/26 19:34:29,5/18/26 19:41:30,anonymous,,,I Agree,55-64,Female,Postgraduate,Business,Multiple times a week,1-2 years,30-60 minutes,ChatGPT;,Creative projects;Information search;Writing assistance;,Never,Always,It is a habit from human conversation;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,FALSE,10,1,7,1,10,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
